Dataset,Implementation,Variant,loss,optim,constrained_embedding,embedding,final_act,layers,batch_size,dropout_p_embed,dropout_p_hidden,learning_rate,momentum,n_sample,sample_alpha,bpreg,logq,Recall@1,MRR@1,Recall@5,MRR@5,Recall@10,MRR@10,Recall@20,MRR@20,Avg. epoch time (s),Avg. e/s,Avg. mb/s,Recall@1 Diff,MRR@1 Diff,Recall@5 Diff,MRR@5 Diff,Recall@10 Diff,MRR@10 Diff,Recall@20 Diff,MRR@20 Diff
Yoochoose,GRU4Rec Official,Best params,cross-entropy,adagrad,TRUE,0,softmax,480,48,0,0.2,0.07,0,2048,0.2,0,1,0.1797,0.1797,0.4457,0.2757,0.5698,0.2924,0.6804,0.3002,451.75,47613,991.99,,,,,,,,
Yoochoose,GRU4Rec Official,GRU4REC-pytorch params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,0,0,0,0,0.0717,0.0717,0.2386,0.1301,0.3478,0.1446,0.4583,0.1523,350.38,61390,1279.01,-60.10%,-60.10%,-46.48%,-52.83%,-38.96%,-50.54%,-32.64%,-49.27%
Yoochoose,GRU4REC-pytorch,OOB,cross-entropy,adagrad,FALSE,480,softmax,480,48,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A,0.0933,0.0933,0.109,0.0998,0.1129,0.1003,0.1169,0.1006,1948.18,11040.99,230.02,-48.10%,-48.10%,-75.54%,-63.82%,-80.19%,-65.70%,-82.82%,-66.50%
Yoochoose,GRU4REC-pytorch,OOB Correct Eval,cross-entropy,adagrad,FALSE,480,softmax,480,48,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A,0.0951,0.0951,0.1134,0.1029,0.1173,0.1034,0.1212,0.1037,1944.45,11062.17,230.46,-47.07%,-47.07%,-74.56%,-62.69%,-79.42%,-64.64%,-82.19%,-65.46%
Yoochoose,GRU4REC-pytorch,Correct full,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,N/A,N/A,N/A,N/A,N/A,0.0493,0.0493,0.1997,0.1001,0.3052,0.1141,0.4271,0.1227,1933.25,11126.37,231.8,-72.58%,-72.58%,-55.19%,-63.68%,-46.44%,-60.98%,-37.22%,-59.14%
Yoochoose,GRU4Rec Official,Torch-GRU4Rec params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,2048,0.2,0,0,0.171,0.171,0.4301,0.2633,0.5571,0.2803,0.669,0.2882,439.19,48975,1020.37,-4.81%,-4.81%,-3.50%,-4.52%,-2.23%,-4.14%,-1.67%,-4.00%
Yoochoose,Torch-GRU4Rec,OOB,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,N/A,2048,0.2,0,N/A,0.1686,0.1686,0.4268,0.2598,0.5528,0.2768,0.6671,0.2847,2082.11,10330.85,215.24,-6.14%,-6.14%,-4.25%,-5.77%,-2.99%,-5.35%,-1.95%,-5.14%
Yoochoose,GRU4Rec Official,GRU4Rec_Tensorflow params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,0,0,0,0,0.0715,0.0715,0.2325,0.1269,0.3431,0.1416,0.4555,0.1495,352.48,61023,1271.36,-60.19%,-60.19%,-47.85%,-53.96%,-39.79%,-51.56%,-33.05%,-50.21%
Yoochoose,GRU4Rec_Tensorflow,OOB,cross-entropy,adagrad,FALSE,480,softmax,480,50,N/A,0.2,0.07,N/A,N/A,N/A,N/A,N/A,0.0727,0.0727,0.2051,0.1178,0.2946,0.1296,0.3857,0.1359,981.87,22026.42,440.53,-59.52%,-59.52%,-54.00%,-57.27%,-48.30%,-55.68%,-43.31%,-54.73%
Yoochoose,GRU4Rec_Tensorflow,Correct Exp,cross-entropy,adagrad,FALSE,480,softmax,480,48,N/A,0.2,0.07,N/A,N/A,N/A,N/A,N/A,0.0691,0.0691,0.2301,0.1252,0.3409,0.1399,0.4606,0.1482,965.98,22268.35,463.92,-61.54%,-61.54%,-48.37%,-54.61%,-40.17%,-52.16%,-32.29%,-50.63%
Yoochoose,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,480,48,0,0.2,0.07,0,2048,0,0,0,0.1734,0.1734,0.4351,0.2671,0.5612,0.2841,0.6722,0.2919,390.87,55030,1146.51,-3.47%,-3.47%,-2.40%,-3.12%,-1.50%,-2.84%,-1.21%,-2.76%
Yoochoose,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,480,48,0,0.2,0.07,0,ALL,N/A,0,N/A,0.1851,0.1851,0.449,0.2802,0.5724,0.2968,0.6809,0.3044,2800.25,7681,160.03,3.00%,3.00%,0.72%,1.61%,0.45%,1.49%,0.08%,1.39%
Yoochoose,KerasGRU4Rec,OOB,cross-entropy,adam,FALSE,0,softmax,100,48,N/A,0.25,0.001,N/A,N/A,N/A,N/A,N/A,0.1576,0.1576,0.3915,0.241,0.5195,0.2581,0.6392,0.2666,13740.04,1565.46,32.61,-12.28%,-12.28%,-12.17%,-12.58%,-8.84%,-11.73%,-6.04%,-11.20%
Yoochoose,KerasGRU4Rec,Correct exp,cross-entropy,adagrad,FALSE,0,softmax,480,48,N/A,0.2,0.07,N/A,N/A,N/A,N/A,N/A,0.1815,0.1815,0.4444,0.2766,0.5694,0.2934,0.6784,0.301,16610.5,1294.93,26.98,1.03%,1.03%,-0.29%,0.32%,-0.07%,0.35%,-0.28%,0.29%
Yoochoose,KerasGRU4Rec,Correct full,cross-entropy,adagrad,FALSE,0,softmax,480,48,N/A,0.2,0.07,N/A,N/A,N/A,N/A,N/A,0.1824,0.1824,0.4446,0.2771,0.5678,0.2936,0.6768,0.3013,16666.31,1290.6,26.89,1.52%,1.52%,-0.27%,0.48%,-0.35%,0.42%,-0.52%,0.37%
Yoochoose,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,2048,0,0,0,0.1709,0.1709,0.4301,0.2625,0.5603,0.28,0.6713,0.2877,442.76,48581,1012.15,-4.89%,-4.89%,-3.52%,-4.81%,-1.67%,-4.25%,-1.33%,-4.14%
Yoochoose,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,ALL,N/A,0,N/A,0.1825,0.1825,0.4447,0.277,0.5698,0.2938,0.6802,0.3016,2859.14,7523,156.74,1.56%,1.56%,-0.23%,0.46%,0.00%,0.50%,-0.02%,0.46%
Yoochoose,Recpack,OOB,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0,0.07,N/A,N/A,N/A,0,N/A,0.1533,0.1533,0.3941,0.2393,0.5108,0.2549,0.6214,0.2627,13458.18,1598.25,207.29,-14.70%,-14.70%,-11.57%,-13.20%,-10.35%,-12.81%,-8.67%,-12.50%
Yoochoose,Recpack,Correct exp,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0,0.07,N/A,N/A,N/A,0,N/A,0.1548,0.1548,0.397,0.2417,0.5157,0.2576,0.6256,0.2653,13462.56,1597.74,207.22,-13.87%,-13.87%,-10.94%,-12.35%,-9.50%,-11.89%,-8.05%,-11.62%
